,AUC,Classifier,Depth,Iteration,Precision,Recall
0,0.7936507936507937,RF_w,1,0,0.8571428571428571,0.6857142857142857
1,0.55,Dummy,1,0,0.6363636363636364,0.6
2,0.838095238095238,RF_w,1,1,0.8666666666666667,0.7428571428571429
3,0.4531746031746032,Dummy,1,1,0.5675675675675675,0.6
4,0.8873015873015873,RF_w,1,2,0.8666666666666667,0.7428571428571429
5,0.5238095238095238,Dummy,1,2,0.5882352941176471,0.5714285714285714
6,0.8555555555555555,RF_w,1,3,0.7741935483870968,0.6857142857142857
7,0.5785714285714285,Dummy,1,3,0.6176470588235294,0.6
8,0.8936507936507937,RF_w,1,4,0.8235294117647058,0.8
9,0.4388888888888889,Dummy,1,4,0.696969696969697,0.6571428571428571
10,0.8698412698412697,RF_w,1,5,0.9310344827586207,0.7714285714285715
11,0.4531746031746032,Dummy,1,5,0.631578947368421,0.6857142857142857
12,0.7841269841269841,RF_w,1,6,0.7435897435897436,0.8285714285714286
13,0.4396825396825397,Dummy,1,6,0.7111111111111111,0.9142857142857143
14,0.9126984126984127,RF_w,1,7,0.8888888888888888,0.6857142857142857
15,0.45476190476190476,Dummy,1,7,0.7142857142857143,0.7142857142857143
16,0.7761904761904762,RF_w,1,8,0.78125,0.7142857142857143
17,0.5238095238095238,Dummy,1,8,0.7352941176470589,0.7142857142857143
18,0.8412698412698412,RF_w,1,9,0.8378378378378378,0.8857142857142857
19,0.48095238095238096,Dummy,1,9,0.7096774193548387,0.6285714285714286
20,0.8603174603174604,RF_w,1,10,0.8125,0.7428571428571429
21,0.46746031746031746,Dummy,1,10,0.696969696969697,0.6571428571428571
22,0.7507936507936508,RF_w,1,11,0.7837837837837838,0.8285714285714286
23,0.5777777777777778,Dummy,1,11,0.6944444444444444,0.7142857142857143
24,0.8301587301587301,RF_w,1,12,0.8529411764705882,0.8285714285714286
25,0.4531746031746032,Dummy,1,12,0.6285714285714286,0.6285714285714286
26,0.8111111111111111,RF_w,1,13,0.8,0.8
27,0.5936507936507937,Dummy,1,13,0.6923076923076923,0.7714285714285715
28,0.8555555555555555,RF_w,1,14,0.8157894736842105,0.8857142857142857
29,0.5936507936507937,Dummy,1,14,0.631578947368421,0.6857142857142857
30,0.8777777777777779,RF_w,1,15,0.8571428571428571,0.8571428571428571
31,0.5658730158730159,Dummy,1,15,0.7352941176470589,0.7142857142857143
32,0.742857142857143,RF_w,1,16,0.7428571428571429,0.7428571428571429
33,0.49365079365079356,Dummy,1,16,0.6944444444444444,0.7142857142857143
34,0.8587301587301588,RF_w,1,17,0.8235294117647058,0.8
35,0.49523809523809526,Dummy,1,17,0.6410256410256411,0.7142857142857143
36,0.8111111111111112,RF_w,1,18,0.7777777777777778,0.8
37,0.4523809523809524,Dummy,1,18,0.5588235294117647,0.5428571428571428
38,0.9253968253968253,RF_w,1,19,0.8157894736842105,0.8857142857142857
39,0.5079365079365079,Dummy,1,19,0.6470588235294118,0.6285714285714286
40,0.9777777777777777,RF_w,1,20,0.8888888888888888,0.9142857142857143
41,0.3825396825396825,Dummy,1,20,0.696969696969697,0.6571428571428571
42,0.8317460317460319,RF_w,1,21,0.8,0.6857142857142857
43,0.5484126984126985,Dummy,1,21,0.6923076923076923,0.7714285714285715
44,0.826984126984127,RF_w,1,22,0.8,0.8
45,0.5507936507936508,Dummy,1,22,0.7,0.6
46,0.8793650793650793,RF_w,1,23,0.8611111111111112,0.8857142857142857
47,0.48095238095238096,Dummy,1,23,0.6451612903225806,0.5714285714285714
48,0.8571428571428572,RF_w,1,24,0.84375,0.7714285714285715
49,0.5238095238095238,Dummy,1,24,0.625,0.5714285714285714
50,0.8206349206349206,RF_w,1,25,0.8181818181818182,0.7714285714285715
51,0.4253968253968254,Dummy,1,25,0.6829268292682927,0.8
52,0.8333333333333334,RF_w,1,26,0.8378378378378378,0.8857142857142857
53,0.49444444444444446,Dummy,1,26,0.5925925925925926,0.45714285714285713
54,0.9079365079365079,RF_w,1,27,0.8333333333333334,0.8571428571428571
55,0.4523809523809524,Dummy,1,27,0.6111111111111112,0.6285714285714286
56,0.8968253968253969,RF_w,1,28,0.8823529411764706,0.8571428571428571
57,0.5373015873015873,Dummy,1,28,0.675,0.7714285714285715
58,0.9095238095238095,RF_w,1,29,0.8529411764705882,0.8285714285714286
59,0.5238095238095238,Dummy,1,29,0.6666666666666666,0.6285714285714286
60,0.7746031746031746,RF_w,1,30,0.8333333333333334,0.8571428571428571
61,0.3833333333333333,Dummy,1,30,0.6470588235294118,0.6285714285714286
62,0.8412698412698412,RF_w,1,31,0.8709677419354839,0.7714285714285715
63,0.5230158730158729,Dummy,1,31,0.6944444444444444,0.7142857142857143
64,0.8492063492063493,RF_w,1,32,0.7692307692307693,0.8571428571428571
65,0.4396825396825397,Dummy,1,32,0.5757575757575758,0.5428571428571428
66,0.7968253968253969,RF_w,1,33,0.7941176470588235,0.7714285714285715
67,0.3841269841269841,Dummy,1,33,0.6486486486486487,0.6857142857142857
68,0.8111111111111111,RF_w,1,34,0.7878787878787878,0.7428571428571429
69,0.46587301587301577,Dummy,1,34,0.6571428571428571,0.6571428571428571
70,0.8476190476190476,RF_w,1,35,0.84375,0.7714285714285715
71,0.6206349206349207,Dummy,1,35,0.6129032258064516,0.5428571428571428
72,0.726984126984127,RF_w,1,36,0.7631578947368421,0.8285714285714286
73,0.4388888888888889,Dummy,1,36,0.6842105263157895,0.7428571428571429
74,0.9,RF_w,1,37,0.9032258064516129,0.8
75,0.6222222222222222,Dummy,1,37,0.6097560975609756,0.7142857142857143
76,0.692063492063492,RF_w,1,38,0.75,0.9428571428571428
77,0.48095238095238096,Dummy,1,38,0.7297297297297297,0.7714285714285715
78,0.7317460317460318,RF_w,1,39,0.7419354838709677,0.6571428571428571
79,0.5357142857142857,Dummy,1,39,0.6470588235294118,0.6285714285714286
80,0.8666666666666666,RF_w,1,40,0.8484848484848485,0.8
81,0.4666666666666667,Dummy,1,40,0.6428571428571429,0.5142857142857142
82,0.8523809523809524,RF_w,1,41,0.8378378378378378,0.8857142857142857
83,0.4111111111111111,Dummy,1,41,0.7027027027027027,0.7428571428571429
84,0.8507936507936509,RF_w,1,42,0.8125,0.7428571428571429
85,0.46746031746031746,Dummy,1,42,0.5588235294117647,0.5428571428571428
86,0.8841269841269842,RF_w,1,43,0.8157894736842105,0.8857142857142857
87,0.5666666666666667,Dummy,1,43,0.6842105263157895,0.7428571428571429
88,0.807936507936508,RF_w,1,44,0.8484848484848485,0.8
89,0.48333333333333334,Dummy,1,44,0.7272727272727273,0.6857142857142857
90,0.9031746031746033,RF_w,1,45,0.875,0.8
91,0.4801587301587301,Dummy,1,45,0.6571428571428571,0.6571428571428571
92,0.9126984126984126,RF_w,1,46,0.8571428571428571,0.8571428571428571
93,0.34206349206349207,Dummy,1,46,0.6111111111111112,0.6285714285714286
94,0.8603174603174603,RF_w,1,47,0.8529411764705882,0.8285714285714286
95,0.46746031746031746,Dummy,1,47,0.6774193548387096,0.6
96,0.9206349206349207,RF_w,1,48,0.8823529411764706,0.8571428571428571
97,0.4801587301587301,Dummy,1,48,0.7297297297297297,0.7714285714285715
98,0.8269841269841269,RF_w,1,49,0.8387096774193549,0.7428571428571429
99,0.5650793650793651,Dummy,1,49,0.7027027027027027,0.7428571428571429
100,0.8873015873015873,RF_w,1,50,0.8421052631578947,0.9142857142857143
101,0.49365079365079356,Dummy,1,50,0.6571428571428571,0.6571428571428571
102,0.8603174603174604,RF_w,1,51,0.8108108108108109,0.8571428571428571
103,0.45396825396825397,Dummy,1,51,0.6388888888888888,0.6571428571428571
104,0.8634920634920635,RF_w,1,52,0.8571428571428571,0.8571428571428571
105,0.5103174603174603,Dummy,1,52,0.6585365853658537,0.7714285714285715
106,0.8603174603174604,RF_w,1,53,0.875,0.8
107,0.46587301587301577,Dummy,1,53,0.675,0.7714285714285715
108,0.773015873015873,RF_w,1,54,0.78125,0.7142857142857143
109,0.44047619047619047,Dummy,1,54,0.7105263157894737,0.7714285714285715
110,0.7492063492063493,RF_w,1,55,0.8387096774193549,0.7428571428571429
111,0.3968253968253968,Dummy,1,55,0.59375,0.5428571428571428
112,0.8984126984126984,RF_w,1,56,0.8285714285714286,0.8285714285714286
113,0.5095238095238096,Dummy,1,56,0.6176470588235294,0.6
114,0.8634920634920634,RF_w,1,57,0.8529411764705882,0.8285714285714286
115,0.55,Dummy,1,57,0.6944444444444444,0.7142857142857143
116,0.9174603174603174,RF_w,1,58,0.90625,0.8285714285714286
