Iteration,AUC,Precision,Recall,Contrast
<built-in function iter>,-0.22063492063492074,-0.13682432432432434,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.2833333333333333,-0.10181451612903225,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.27380952380952384,-0.1843615494978479,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.2563492063492064,-0.1998069498069498,0.0,Dummy-RF
<built-in function iter>,-0.33492063492063495,-0.16911764705882348,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.3214285714285715,-0.23412698412698418,-0.37142857142857155,Dummy-RF
<built-in function iter>,-0.3944444444444442,-0.21706081081081086,-0.3142857142857143,Dummy-RF
<built-in function iter>,-0.3476190476190477,-0.23370429252782188,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.2523809523809524,-0.21568627450980393,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.4015873015873015,-0.06854838709677424,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.36825396825396817,-0.14241486068111453,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.2555555555555556,-0.06428571428571428,0.0,Dummy-RF
<built-in function iter>,-0.2658730158730159,-0.14375000000000004,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.47222222222222215,-0.08534482758620687,-0.3142857142857143,Dummy-RF
<built-in function iter>,-0.28888888888888886,-0.16261808367071517,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.23412698412698407,-0.17948717948717952,0.0,Dummy-RF
<built-in function iter>,-0.18968253968253979,-0.01482127288578905,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.3626984126984128,-0.19393939393939397,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.330952380952381,-0.14414414414414423,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.34444444444444444,-0.10317460317460314,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.39047619047619053,-0.21970357454228429,-0.34285714285714297,Dummy-RF
<built-in function iter>,-0.34365079365079365,-0.13383838383838387,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.4388888888888889,-0.14171122994652408,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.3682539682539683,-0.16193181818181823,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.30873015873015874,-0.13602941176470584,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.36111111111111105,-0.09629629629629632,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.2706349206349207,-0.22619047619047628,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.4246031746031747,-0.16468590831918506,-0.3142857142857144,Dummy-RF
<built-in function iter>,-0.2063492063492064,-0.14781966001478197,0.0,Dummy-RF
<built-in function iter>,-0.3047619047619047,-0.10982142857142863,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.29285714285714304,-0.10087719298245612,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.3952380952380953,-0.17488076311605716,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.5174603174603174,-0.1645299145299145,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.3515873015873014,-0.22619047619047628,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.29126984126984123,-0.21517857142857144,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.33492063492063495,-0.14436090225563913,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.1777777777777778,-0.13479623824451403,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3142857142857143,-0.07432432432432434,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.15952380952380962,-0.14980694980694986,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.21111111111111114,-0.11669829222011385,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.30714285714285705,-0.21382488479262673,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.3722222222222223,-0.1515151515151516,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.48333333333333345,-0.26036866359446986,-0.2857142857142858,Dummy-RF
<built-in function iter>,-0.26190476190476186,-0.10661764705882348,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.3452380952380951,-0.13492063492063489,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.3595238095238096,-0.2467994310099575,-0.2857142857142857,Dummy-RF
<built-in function iter>,-0.4000000000000001,-0.18393393393393398,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.3611111111111111,-0.16666666666666674,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.2746031746031745,-0.2333333333333334,-0.34285714285714286,Dummy-RF
<built-in function iter>,-0.2801587301587303,-0.2421052631578947,-0.3142857142857144,Dummy-RF
<built-in function iter>,-0.28888888888888886,-0.1307759372275501,0.0,Dummy-RF
<built-in function iter>,-0.25476190476190463,-0.04285714285714293,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.2047619047619048,-0.07904411764705888,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.43333333333333335,-0.12115384615384617,-0.39999999999999997,Dummy-RF
<built-in function iter>,-0.2992063492063492,-0.12745098039215685,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.38968253968253963,-0.13157894736842102,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.34682539682539676,-0.12277992277992278,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.49285714285714277,-0.0980392156862745,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.3436507936507936,-0.08681408681408675,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.22936507936507944,-0.11501831501831505,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.2682539682539682,-0.09865900383141768,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.2769841269841269,-0.18392857142857144,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.33253968253968247,-0.23865546218487388,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.30714285714285716,-0.11458333333333337,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.17460317460317454,-0.045887445887445866,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.2912698412698411,-0.19019607843137254,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.09920634920634919,-0.2349624060150376,0.0,Dummy-RF
<built-in function iter>,-0.43730158730158725,-0.25357142857142856,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.4365079365079366,-0.1636363636363637,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.43174603174603177,-0.14242424242424245,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.4523809523809524,-0.1966911764705882,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.4349206349206348,-0.17241379310344818,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.25634920634920644,-0.11458333333333337,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.438888888888889,-0.2459893048128342,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.26190476190476203,-0.05405405405405406,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.18888888888888888,-0.16090225563909777,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.4047619047619048,-0.18667504714016336,-0.08571428571428563,Dummy-RF
<built-in function iter>,-0.3071428571428571,-0.14414414414414423,-0.17142857142857137,Dummy-RF
