,AUC,Classifier,Iteration,Precision,Recall
0,0.8444444444444443,SVC_fs_W40_10,0,0.875,0.4
1,0.8174603174603174,SVC_fs_W10_26,0,0.8333333333333334,0.8571428571428571
2,0.8285714285714285,RF_w,0,0.875,0.6
3,0.5523809523809524,Dummy,0,0.6842105263157895,0.7428571428571429
4,0.8587301587301587,SVC_fs_W40_10,1,0.8888888888888888,0.45714285714285713
5,0.8166666666666667,SVC_fs_W10_26,1,0.75,0.9428571428571428
6,0.8476190476190475,RF_w,1,0.8846153846153846,0.6571428571428571
7,0.48095238095238096,Dummy,1,0.6111111111111112,0.6285714285714286
8,0.8523809523809524,SVC_fs_W40_10,2,0.9473684210526315,0.5142857142857142
9,0.8214285714285714,SVC_fs_W10_26,2,0.7857142857142857,0.9428571428571428
10,0.8904761904761905,RF_w,2,0.8666666666666667,0.7428571428571429
11,0.49444444444444446,Dummy,2,0.696969696969697,0.6571428571428571
12,0.9047619047619048,SVC_fs_W40_10,3,0.9523809523809523,0.5714285714285714
13,0.8309523809523809,SVC_fs_W10_26,3,0.7674418604651163,0.9428571428571428
14,0.8587301587301588,RF_w,3,0.8,0.6857142857142857
15,0.4253968253968254,Dummy,3,0.6363636363636364,0.6
16,0.9079365079365079,SVC_fs_W40_10,4,0.92,0.6571428571428571
17,0.8928571428571429,SVC_fs_W10_26,4,0.8333333333333334,1.0
18,0.8952380952380953,RF_w,4,0.875,0.8
19,0.5365079365079365,Dummy,4,0.6857142857142857,0.6857142857142857
20,0.8825396825396826,SVC_fs_W40_10,5,1.0,0.4
21,0.8777777777777779,SVC_fs_W10_26,5,0.8205128205128205,0.9142857142857143
22,0.873015873015873,RF_w,5,0.96,0.6857142857142857
23,0.5071428571428571,Dummy,5,0.7428571428571429,0.7428571428571429
24,0.780952380952381,SVC_fs_W40_10,6,0.7916666666666666,0.5428571428571428
25,0.7507936507936508,SVC_fs_W10_26,6,0.7446808510638298,1.0
26,0.7904761904761904,RF_w,6,0.7631578947368421,0.8285714285714286
27,0.4825396825396826,Dummy,6,0.6571428571428571,0.6571428571428571
28,0.9253968253968253,SVC_fs_W40_10,7,1.0,0.37142857142857144
29,0.9158730158730158,SVC_fs_W10_26,7,0.8717948717948718,0.9714285714285714
30,0.9301587301587302,RF_w,7,0.8888888888888888,0.6857142857142857
31,0.5238095238095238,Dummy,7,0.5806451612903226,0.5142857142857142
32,0.8079365079365081,SVC_fs_W40_10,8,0.8823529411764706,0.42857142857142855
33,0.7603174603174604,SVC_fs_W10_26,8,0.7555555555555555,0.9714285714285714
34,0.784126984126984,RF_w,8,0.8571428571428571,0.6857142857142857
35,0.4650793650793651,Dummy,8,0.675,0.7714285714285715
36,0.8555555555555555,SVC_fs_W40_10,9,0.8695652173913043,0.5714285714285714
37,0.8365079365079364,SVC_fs_W10_26,9,0.7441860465116279,0.9142857142857143
38,0.8444444444444444,RF_w,9,0.8529411764705882,0.8285714285714286
39,0.5079365079365079,Dummy,9,0.6341463414634146,0.7428571428571429
40,0.8507936507936508,SVC_fs_W40_10,10,1.0,0.45714285714285713
41,0.830952380952381,SVC_fs_W10_26,10,0.7333333333333333,0.9428571428571428
42,0.8698412698412699,RF_w,10,0.8620689655172413,0.7142857142857143
43,0.4801587301587301,Dummy,10,0.7142857142857143,0.8571428571428571
44,0.7523809523809524,SVC_fs_W40_10,11,0.7368421052631579,0.4
45,0.7119047619047619,SVC_fs_W10_26,11,0.7272727272727273,0.9142857142857143
46,0.7476190476190476,RF_w,11,0.7777777777777778,0.8
47,0.45158730158730154,Dummy,11,0.5833333333333334,0.6
48,0.853968253968254,SVC_fs_W40_10,12,0.9,0.5142857142857142
49,0.8007936507936508,SVC_fs_W10_26,12,0.7441860465116279,0.9142857142857143
50,0.8365079365079364,RF_w,12,0.8484848484848485,0.8
51,0.46587301587301577,Dummy,12,0.6857142857142857,0.6857142857142857
52,0.8746031746031746,SVC_fs_W40_10,13,0.95,0.5428571428571428
53,0.7777777777777778,SVC_fs_W10_26,13,0.6976744186046512,0.8571428571428571
54,0.8317460317460318,RF_w,13,0.8235294117647058,0.8
55,0.5230158730158729,Dummy,13,0.6451612903225806,0.5714285714285714
56,0.8857142857142857,SVC_fs_W40_10,14,0.9,0.5142857142857142
57,0.8634920634920635,SVC_fs_W10_26,14,0.7391304347826086,0.9714285714285714
58,0.8650793650793651,RF_w,14,0.8055555555555556,0.8285714285714286
59,0.49523809523809526,Dummy,14,0.6538461538461539,0.4857142857142857
60,0.8873015873015873,SVC_fs_W40_10,15,0.9090909090909091,0.5714285714285714
