,AUC,Classifier,Iteration,Precision,Recall
0,0.761904761904762,SVC_fs_W40_10,0,0.9,0.5142857142857142
1,0.7317460317460318,SVC_fs_W10_26,0,0.8181818181818182,0.7714285714285715
2,0.807936507936508,RF_w,0,0.8571428571428571,0.6857142857142857
3,0.3976190476190476,Dummy,0,0.6388888888888888,0.6571428571428571
4,0.7777777777777778,SVC_fs_W40_10,1,0.8947368421052632,0.4857142857142857
5,0.773015873015873,SVC_fs_W10_26,1,0.7368421052631579,0.8
6,0.8428571428571429,RF_w,1,0.8666666666666667,0.7428571428571429
7,0.5238095238095238,Dummy,1,0.6285714285714286,0.6285714285714286
8,0.7317460317460318,SVC_fs_W40_10,2,0.95,0.5428571428571428
9,0.7317460317460318,SVC_fs_W10_26,2,0.7428571428571429,0.7428571428571429
10,0.8857142857142858,RF_w,2,0.8666666666666667,0.7428571428571429
11,0.46587301587301577,Dummy,2,0.6388888888888888,0.6571428571428571
12,0.8095238095238096,SVC_fs_W40_10,3,0.9545454545454546,0.6
13,0.7380952380952381,SVC_fs_W10_26,3,0.7435897435897436,0.8285714285714286
14,0.8539682539682539,RF_w,3,0.8055555555555556,0.8285714285714286
15,0.4380952380952381,Dummy,3,0.6216216216216216,0.6571428571428571
16,0.8777777777777778,SVC_fs_W40_10,4,0.9230769230769231,0.6857142857142857
17,0.8746031746031746,SVC_fs_W10_26,4,0.8205128205128205,0.9142857142857143
18,0.892063492063492,RF_w,4,0.8285714285714286,0.8285714285714286
19,0.4388888888888889,Dummy,4,0.6451612903225806,0.5714285714285714
20,0.8476190476190476,SVC_fs_W40_10,5,1.0,0.45714285714285713
21,0.8253968253968254,SVC_fs_W10_26,5,0.90625,0.8285714285714286
22,0.873015873015873,RF_w,5,0.9310344827586207,0.7714285714285715
23,0.4111111111111111,Dummy,5,0.7027027027027027,0.7428571428571429
24,0.7571428571428571,SVC_fs_W40_10,6,0.8148148148148148,0.6285714285714286
25,0.753968253968254,SVC_fs_W10_26,6,0.7317073170731707,0.8571428571428571
26,0.788888888888889,RF_w,6,0.7435897435897436,0.8285714285714286
27,0.5365079365079365,Dummy,6,0.6470588235294118,0.6285714285714286
28,0.8761904761904761,SVC_fs_W40_10,7,1.0,0.5142857142857142
29,0.8539682539682539,SVC_fs_W10_26,7,0.8857142857142857,0.8857142857142857
30,0.9253968253968253,RF_w,7,0.90625,0.8285714285714286
31,0.426984126984127,Dummy,7,0.6285714285714286,0.6285714285714286
32,0.7015873015873015,SVC_fs_W40_10,8,0.8888888888888888,0.45714285714285713
33,0.6761904761904761,SVC_fs_W10_26,8,0.7368421052631579,0.8
34,0.7730158730158729,RF_w,8,0.78125,0.7142857142857143
35,0.49444444444444446,Dummy,8,0.6551724137931034,0.5428571428571428
36,0.8317460317460317,SVC_fs_W40_10,9,0.88,0.6285714285714286
37,0.8238095238095238,SVC_fs_W10_26,9,0.7619047619047619,0.9142857142857143
