Iteration,AUC,Precision,Recall,Contrast
<built-in function iter>,-0.29999999999999993,-0.22747252747252744,0.0,Dummy-RF
<built-in function iter>,-0.2857142857142856,-0.31390977443609025,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.284920634920635,-0.23508771929824568,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.484920634920635,-0.16953316953316955,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.2682539682539683,-0.15656565656565657,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.28888888888888875,-0.2773279352226721,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.27222222222222225,-0.07894736842105265,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3206349206349207,-0.2333333333333334,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.31269841269841264,-0.2813852813852813,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.25476190476190486,-0.1792929292929294,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.4531746031746032,-0.18675721561969438,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.24206349206349198,-0.17088055797733215,-0.2857142857142858,Dummy-RF
<built-in function iter>,-0.32777777777777767,-0.32352941176470584,-0.3142857142857144,Dummy-RF
<built-in function iter>,-0.426984126984127,-0.17236662106703138,0.0,Dummy-RF
<built-in function iter>,-0.3626984126984126,-0.16714082503556182,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.4698412698412699,-0.19942611190817783,-0.05714285714285705,Dummy-RF
<built-in function iter>,-0.15952380952380962,-0.045955882352941124,0.0,Dummy-RF
<built-in function iter>,-0.24841269841269842,-0.1950464396284829,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.19365079365079374,-0.008270676691729317,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.5388888888888889,-0.10254372019077895,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.515873015873016,-0.25546218487394945,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.36428571428571427,-0.21501014198782953,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.26984126984127,-0.1630094043887148,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.43730158730158725,-0.18686868686868696,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.46428571428571436,-0.18538324420677355,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.3150793650793652,-0.2104166666666667,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.33888888888888896,-0.18333333333333335,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.45238095238095244,-0.2272727272727273,-0.2857142857142857,Dummy-RF
<built-in function iter>,-0.4126984126984127,-0.19004524886877827,-0.34285714285714286,Dummy-RF
<built-in function iter>,-0.37936507936507935,-0.20108695652173914,0.08571428571428563,Dummy-RF
<built-in function iter>,-0.169047619047619,-0.21657754010695185,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.3492063492063491,-0.23207885304659504,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.36666666666666675,-0.07072368421052633,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.330952380952381,-0.13749999999999996,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3238095238095238,-0.12073732718894004,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3476190476190476,-0.26881720430107536,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.10952380952380958,-0.17342799188640967,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.4547619047619046,-0.22008113590263667,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.20158730158730154,-0.10651629072681712,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.1873015873015872,-0.17026578073089693,0.1428571428571429,Dummy-RF
<built-in function iter>,-0.3103174603174603,-0.19268292682926835,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.35,-0.21621621621621623,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.28253968253968265,-0.12432432432432439,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.2761904761904763,-0.1578947368421052,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.3555555555555554,-0.28125,-0.25714285714285723,Dummy-RF
<built-in function iter>,-0.45158730158730154,-0.2450450450450451,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3825396825396824,-0.22077922077922074,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.38492063492063483,-0.1919642857142857,0.02857142857142847,Dummy-RF
<built-in function iter>,-0.27301587301587327,-0.18300653594771232,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.2134920634920634,-0.18017309205350118,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.40952380952380957,-0.193456614509246,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.48968253968253966,-0.2633928571428571,-0.3142857142857143,Dummy-RF
<built-in function iter>,-0.39841269841269844,-0.19440459110473451,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.4666666666666667,-0.23872679045092848,0.0,Dummy-RF
<built-in function iter>,-0.3785714285714286,-0.12442396313364057,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.30555555555555564,-0.18156682027649773,-0.08571428571428574,Dummy-RF
