,AUC,Classifier,Iteration,Precision,Recall
0,0.844290657439,SVC_fs_W40_10,0,1.0,0.647058823529
1,0.865051903114,SVC_fs_W10_26,0,0.714285714286,0.882352941176
2,0.837370242215,RF_w,0,0.742857142857,0.764705882353
3,0.441176470588,Dummy,0,0.53125,0.5
4,0.910034602076,SVC_fs_W40_10,1,1.0,0.676470588235
5,0.929065743945,SVC_fs_W10_26,1,0.723404255319,1.0
6,0.941176470588,RF_w,1,0.810810810811,0.882352941176
7,0.514705882353,Dummy,1,0.684210526316,0.764705882353
8,0.927335640138,SVC_fs_W40_10,2,1.0,0.764705882353
9,0.911764705882,SVC_fs_W10_26,2,0.6875,0.970588235294
10,0.955017301038,RF_w,2,0.744186046512,0.941176470588
11,0.367647058824,Dummy,2,0.7,0.617647058824
12,0.877162629758,SVC_fs_W40_10,3,1.0,0.735294117647
13,0.83044982699,SVC_fs_W10_26,3,0.727272727273,0.941176470588
14,0.885813148789,RF_w,3,0.736842105263,0.823529411765
15,0.5,Dummy,3,0.684210526316,0.764705882353
16,0.889273356401,SVC_fs_W40_10,4,1.0,0.764705882353
17,0.88062283737,SVC_fs_W10_26,4,0.739130434783,1.0
18,0.899653979239,RF_w,4,0.756097560976,0.911764705882
19,0.661764705882,Dummy,4,0.657142857143,0.676470588235
20,0.956747404844,SVC_fs_W40_10,5,1.0,0.676470588235
21,0.955017301038,SVC_fs_W10_26,5,0.809523809524,1.0
22,0.937716262976,RF_w,5,0.837837837838,0.911764705882
23,0.455882352941,Dummy,5,0.617647058824,0.617647058824
24,0.927335640138,SVC_fs_W40_10,6,1.0,0.764705882353
25,0.90830449827,SVC_fs_W10_26,6,0.708333333333,1.0
26,0.918685121107,RF_w,6,0.75,0.882352941176
27,0.455882352941,Dummy,6,0.59375,0.558823529412
28,0.930795847751,SVC_fs_W40_10,7,1.0,0.647058823529
29,0.904844290657,SVC_fs_W10_26,7,0.767441860465,0.970588235294
30,0.916955017301,RF_w,7,0.794871794872,0.911764705882
31,0.602941176471,Dummy,7,0.705882352941,0.705882352941
32,0.891003460208,SVC_fs_W40_10,8,1.0,0.676470588235
33,0.901384083045,SVC_fs_W10_26,8,0.739130434783,1.0
34,0.875432525952,RF_w,8,0.756756756757,0.823529411765
35,0.441176470588,Dummy,8,0.676470588235,0.676470588235
36,0.858131487889,SVC_fs_W40_10,9,1.0,0.647058823529
37,0.837370242215,SVC_fs_W10_26,9,0.711111111111,0.941176470588
38,0.887543252595,RF_w,9,0.74358974359,0.852941176471
39,0.544117647059,Dummy,9,0.692307692308,0.794117647059
40,0.955017301038,SVC_fs_W40_10,10,1.0,0.794117647059
41,0.930795847751,SVC_fs_W10_26,10,0.75,0.970588235294
42,0.937716262976,RF_w,10,0.775,0.911764705882
43,0.544117647059,Dummy,10,0.676470588235,0.676470588235
44,0.934256055363,SVC_fs_W40_10,11,1.0,0.588235294118
45,0.875432525952,SVC_fs_W10_26,11,0.727272727273,0.941176470588
46,0.903114186851,RF_w,11,0.828571428571,0.852941176471
47,0.544117647059,Dummy,11,0.617647058824,0.617647058824
48,0.885813148789,SVC_fs_W40_10,12,1.0,0.705882352941
49,0.871972318339,SVC_fs_W10_26,12,0.6875,0.970588235294
50,0.896193771626,RF_w,12,0.769230769231,0.882352941176
51,0.397058823529,Dummy,12,0.685714285714,0.705882352941
52,0.885813148789,SVC_fs_W40_10,13,1.0,0.705882352941
53,0.871972318339,SVC_fs_W10_26,13,0.720930232558,0.911764705882
54,0.885813148789,RF_w,13,0.777777777778,0.823529411765
55,0.426470588235,Dummy,13,0.628571428571,0.647058823529
56,0.854671280277,SVC_fs_W40_10,14,1.0,0.617647058824
57,0.792387543253,SVC_fs_W10_26,14,0.717391304348,0.970588235294
58,0.856401384083,RF_w,14,0.771428571429,0.794117647059
59,0.485294117647,Dummy,14,0.714285714286,0.735294117647
60,0.965397923875,SVC_fs_W40_10,15,1.0,0.794117647059
61,0.953287197232,SVC_fs_W10_26,15,0.739130434783,1.0
62,0.965397923875,RF_w,15,0.825,0.970588235294
