,AUC,Classifier,Iteration,Precision,Recall
0,0.93598615917,SVC_fs_W40_10,1000,1.0,0.294117647059
1,0.714532871972,SVC_fs_W10_26,1000,0.666666666667,1.0
2,1.0,RF_w,1000,1.0,1.0
3,0.411764705882,Dummy,1000,0.615384615385,0.705882352941
4,0.928571428571,SVC_fs_W40_10,1000,1.0,0.457142857143
5,0.753571428571,SVC_fs_W10_26,1000,0.686274509804,1.0
6,1.0,RF_w,1000,1.0,0.914285714286
7,0.374107142857,Dummy,1000,0.615384615385,0.685714285714
8,0.9625,SVC_fs_W40_10,1000,1.0,0.371428571429
9,0.632142857143,SVC_fs_W10_26,1000,0.686274509804,1.0
10,1.0,RF_w,1000,1.0,0.971428571429
11,0.601785714286,Dummy,1000,0.74358974359,0.828571428571
12,0.972307692308,SVC_fs_W40_10,1000,1.0,0.384615384615
13,0.803076923077,SVC_fs_W10_26,1000,0.509803921569,1.0
14,1.0,RF_w,1000,1.0,0.923076923077
15,0.622307692308,Dummy,1000,0.589743589744,0.884615384615
16,0.932142857143,SVC_fs_W40_10,1000,1.0,0.428571428571
17,0.314285714286,SVC_fs_W10_26,1000,0.686274509804,1.0
18,1.0,RF_w,1000,1.0,1.0
19,0.465178571429,Dummy,1000,0.666666666667,0.742857142857
20,0.95,SVC_fs_W40_10,1000,1.0,0.361111111111
21,0.698148148148,SVC_fs_W10_26,1000,0.705882352941,1.0
22,1.0,RF_w,1000,1.0,0.972222222222
23,0.427777777778,Dummy,1000,0.666666666667,0.722222222222
24,0.92471042471,SVC_fs_W40_10,1000,1.0,0.324324324324
25,0.631274131274,SVC_fs_W10_26,1000,0.725490196078,1.0
26,1.0,RF_w,1000,1.0,1.0
27,0.436293436293,Dummy,1000,0.692307692308,0.72972972973
28,0.908928571429,SVC_fs_W40_10,1000,1.0,0.342857142857
29,0.6875,SVC_fs_W10_26,1000,0.686274509804,1.0
30,1.0,RF_w,1000,1.0,0.942857142857
31,0.465178571429,Dummy,1000,0.666666666667,0.742857142857
32,0.981366459627,SVC_fs_W40_10,1000,1.0,0.428571428571
33,0.299689440994,SVC_fs_W10_26,1000,0.549019607843,1.0
34,1.0,RF_w,1000,1.0,1.0
35,0.523291925466,Dummy,1000,0.564102564103,0.785714285714
36,0.927335640138,SVC_fs_W40_10,1000,1.0,0.323529411765
37,0.714532871972,SVC_fs_W10_26,1000,0.666666666667,1.0
38,1.0,RF_w,1000,1.0,0.970588235294
39,0.5,Dummy,1000,0.666666666667,0.764705882353
40,0.916955017301,SVC_fs_W40_10,1000,1.0,0.382352941176
41,0.785467128028,SVC_fs_W10_26,1000,0.666666666667,1.0
42,1.0,RF_w,1000,1.0,0.941176470588
43,0.632352941176,Dummy,1000,0.74358974359,0.852941176471
44,0.884083044983,SVC_fs_W40_10,1000,1.0,0.382352941176
45,0.617647058824,SVC_fs_W10_26,1000,0.666666666667,1.0
46,1.0,RF_w,1000,1.0,1.0
47,0.455882352941,Dummy,1000,0.641025641026,0.735294117647
48,0.991776315789,SVC_fs_W40_10,1000,1.0,0.375
49,0.786184210526,SVC_fs_W10_26,1000,0.627450980392,1.0
50,1.0,RF_w,1000,1.0,1.0
51,0.438322368421,Dummy,1000,0.589743589744,0.71875
52,0.915824915825,SVC_fs_W40_10,1000,1.0,0.454545454545
53,0.828282828283,SVC_fs_W10_26,1000,0.647058823529,1.0
54,1.0,RF_w,1000,1.0,1.0
55,0.575757575758,Dummy,1000,0.692307692308,0.818181818182
56,0.916129032258,SVC_fs_W40_10,1000,1.0,0.41935483871
57,0.322580645161,SVC_fs_W10_26,1000,0.607843137255,1.0
58,1.0,RF_w,1000,1.0,0.967741935484
59,0.470967741935,Dummy,1000,0.589743589744,0.741935483871
60,0.985714285714,SVC_fs_W40_10,1000,1.0,0.4
61,0.701785714286,SVC_fs_W10_26,1000,0.686274509804,1.0
62,1.0,RF_w,1000,1.0,1.0
63,0.55625,Dummy,1000,0.717948717949,0.8
64,0.898785425101,SVC_fs_W40_10,1000,1.0,0.342105263158
65,0.712550607287,SVC_fs_W10_26,1000,0.745098039216,1.0
66,1.0,RF_w,1000,1.0,0.973684210526
67,0.496963562753,Dummy,1000,0.74358974359,0.763157894737
68,0.942857142857,SVC_fs_W40_10,1000,1.0,0.342857142857
69,0.248214285714,SVC_fs_W10_26,1000,0.686274509804,1.0
70,1.0,RF_w,1000,1.0,0.914285714286
71,0.465178571429,Dummy,1000,0.666666666667,0.742857142857
72,0.874493927126,SVC_fs_W40_10,1000,1.0,0.315789473684
73,0.576923076923,SVC_fs_W10_26,1000,0.745098039216,1.0
74,1.0,RF_w,1000,1.0,0.947368421053
75,0.496963562753,Dummy,1000,0.74358974359,0.763157894737
76,0.982258064516,SVC_fs_W40_10,1000,1.0,0.225806451613
77,0.703225806452,SVC_fs_W10_26,1000,0.607843137255,1.0
78,1.0,RF_w,1000,1.0,1.0
79,0.512096774194,Dummy,1000,0.615384615385,0.774193548387
80,0.988215488215,SVC_fs_W40_10,1000,1.0,0.515151515152
81,0.784511784512,SVC_fs_W10_26,1000,0.647058823529,1.0
82,1.0,RF_w,1000,1.0,1.0
83,0.489898989899,Dummy,1000,0.641025641026,0.757575757576
84,0.971428571429,SVC_fs_W40_10,1000,1.0,0.485714285714
85,0.716071428571,SVC_fs_W10_26,1000,0.686274509804,1.0
86,1.0,RF_w,1000,1.0,1.0
87,0.465178571429,Dummy,1000,0.666666666667,0.742857142857
88,0.957528957529,SVC_fs_W40_10,1000,1.0,0.351351351351
89,0.739382239382,SVC_fs_W10_26,1000,0.725490196078,1.0
90,1.0,RF_w,1000,1.0,0.972972972973
91,0.485521235521,Dummy,1000,0.717948717949,0.756756756757
92,0.923875432526,SVC_fs_W40_10,1000,1.0,0.382352941176
93,0.795847750865,SVC_fs_W10_26,1000,0.666666666667,1.0
94,1.0,RF_w,1000,1.0,1.0
95,0.411764705882,Dummy,1000,0.615384615385,0.705882352941
96,0.926785714286,SVC_fs_W40_10,1000,1.0,0.314285714286
97,0.771428571429,SVC_fs_W10_26,1000,0.686274509804,1.0
98,1.0,RF_w,1000,1.0,1.0
99,0.510714285714,Dummy,1000,0.692307692308,0.771428571429
100,0.938888888889,SVC_fs_W40_10,1000,1.0,0.25
101,0.366666666667,SVC_fs_W10_26,1000,0.705882352941,1.0
102,1.0,RF_w,1000,1.0,0.972222222222
103,0.522222222222,Dummy,1000,0.717948717949,0.777777777778
104,0.887037037037,SVC_fs_W40_10,1000,1.0,0.25
105,0.712962962963,SVC_fs_W10_26,1000,0.705882352941,1.0
106,1.0,RF_w,1000,1.0,0.972222222222
107,0.475,Dummy,1000,0.692307692308,0.75
108,0.884615384615,SVC_fs_W40_10,1000,1.0,0.289473684211
109,0.285425101215,SVC_fs_W10_26,1000,0.745098039216,1.0
110,1.0,RF_w,1000,1.0,0.921052631579
111,0.445344129555,Dummy,1000,0.717948717949,0.736842105263
112,0.921630094044,SVC_fs_W40_10,1000,1.0,0.413793103448
113,0.515673981191,SVC_fs_W10_26,1000,0.56862745098,1.0
114,1.0,RF_w,1000,1.0,0.965517241379
115,0.572884012539,Dummy,1000,0.615384615385,0.827586206897
116,0.881481481481,SVC_fs_W40_10,1000,1.0,0.25
117,0.357407407407,SVC_fs_W10_26,1000,0.705882352941,1.0
118,1.0,RF_w,1000,1.0,0.972222222222
119,0.380555555556,Dummy,1000,0.641025641026,0.694444444444
120,0.946031746032,SVC_fs_W40_10,1000,1.0,0.366666666667
121,0.725396825397,SVC_fs_W10_26,1000,0.588235294118,1.0
