,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
957,[-0.29152249],[-0.00925926],[-0.29411765],[-0.26211073],[-0.00925926],[-0.38235294],[-0.29152249],[-0.25925926],[-0.05882353],999
958,[-0.39619377],[-0.05787546],[-0.14705882],[-0.39100346],[-0.04155844],[-0.23529412],[-0.42041522],[-0.31428571],[-0.05882353],999
959,[-0.48702422],[-0.17424242],[-0.32352941],[-0.46972318],[-0.14764668],[-0.44117647],[-0.48356401],[-0.42424242],[-0.14705882],999
960,[-0.48096886],[-0.15584416],[-0.35294118],[-0.49653979],[-0.14393939],[-0.38235294],[-0.48788927],[-0.39393939],[-0.20588235],999
961,[-0.31401384],[-0.09103641],[-0.26470588],[-0.28287197],[-0.07634543],[-0.35294118],[-0.30536332],[-0.35294118],[ 0.],999
962,[-0.40138408],[-0.09009009],[-0.05882353],[-0.41522491],[-0.08943089],[-0.14705882],[-0.44463668],[-0.33333333],[ 0.11764706],999
963,[-0.37283737],[-0.15384615],[-0.17647059],[-0.3849481],[-0.12641622],[-0.23529412],[-0.36937716],[-0.35897436],[ 0.08823529],999
964,[-0.36245675],[-0.09502924],[-0.05882353],[-0.33304498],[-0.07518797],[-0.17647059],[-0.36764706],[-0.28947368],[ 0.11764706],999
965,[-0.33823529],[-0.05748663],[-0.26470588],[-0.30017301],[-0.06127451],[-0.35294118],[-0.35034602],[-0.35294118],[ 0.],999
966,[-0.39100346],[-0.08351811],[-0.26470588],[-0.39273356],[-0.05858586],[-0.32352941],[-0.40657439],[-0.3030303],[-0.02941176],999
967,[-0.43252595],[-0.15],[-0.17647059],[-0.38927336],[-0.05585106],[-0.20588235],[-0.40657439],[-0.375],[-0.05882353],999
968,[-0.41868512],[-0.17690058],[-0.14705882],[-0.37370242],[-0.06578947],[-0.20588235],[-0.41695502],[-0.31578947],[ 0.02941176],999
969,[-0.40743945],[-0.15686275],[-0.11764706],[-0.40916955],[-0.14285714],[-0.29411765],[-0.39186851],[-0.33333333],[ 0.05882353],999
970,[-0.27508651],[-0.05897436],[-0.23529412],[-0.29757785],[-0.04057971],[-0.35294118],[-0.3183391],[-0.36666667],[-0.11764706],999
971,[-0.58391003],[-0.19267655],[-0.32352941],[-0.52681661],[-0.14553638],[-0.41176471],[-0.54930796],[-0.35483871],[-0.08823529],999
972,[-0.39705882],[-0.05920206],[-0.17647059],[-0.35207612],[-0.02070155],[-0.23529412],[-0.39878893],[-0.2972973],[ 0.05882353],999
973,[-0.30795848],[-0.03686636],[-0.11764706],[-0.35813149],[-0.03997195],[-0.35294118],[-0.35121107],[-0.32258065],[-0.02941176],999
974,[-0.36418685],[-0.16396761],[-0.20588235],[-0.40224913],[-0.12807018],[-0.29411765],[-0.41782007],[-0.39473684],[-0.08823529],999
975,[-0.5216263],[-0.12276423],[-0.35294118],[-0.51816609],[-0.06054422],[-0.44117647],[-0.53546713],[-0.36666667],[-0.17647059],999
976,[-0.3399654],[-0.11034483],[-0.23529412],[-0.28633218],[-0.04367816],[-0.38235294],[-0.31574394],[-0.31034483],[-0.11764706],999
977,[-0.36245675],[ 0.0326087],[-0.35294118],[-0.3884083],[ 0.05920444],[-0.47058824],[-0.37802768],[-0.2173913],[-0.20588235],999
978,[-0.41262976],[-0.01544402],[-0.20588235],[-0.44377163],[-0.00911854],[-0.41176471],[-0.43858131],[-0.28571429],[-0.02941176],999
979,[-0.45242215],[-0.1744272],[-0.35294118],[-0.40916955],[-0.13306983],[-0.41176471],[-0.44204152],[-0.39393939],[-0.14705882],999
980,[-0.5449827],[-0.15840841],[-0.14705882],[-0.53806228],[-0.08301158],[-0.20588235],[-0.55190311],[-0.2972973],[ 0.08823529],999
981,[-0.47750865],[-0.07994186],[-0.32352941],[-0.46885813],[-0.01462766],[-0.32352941],[-0.46193772],[-0.3125],[-0.08823529],999
982,[-0.36591696],[-0.01190476],[-0.14705882],[-0.35899654],[ 0.01666667],[-0.17647059],[-0.36937716],[-0.25],[-0.02941176],999
983,[-0.42301038],[-0.1130031],[-0.20588235],[-0.39359862],[-0.03464052],[-0.26470588],[-0.40916955],[-0.32352941],[-0.08823529],999
984,[-0.24480969],[-0.11705069],[-0.02941176],[-0.28114187],[-0.1047619],[-0.26470588],[-0.28979239],[-0.34285714],[ 0.11764706],999
985,[-0.46020761],[-0.00756939],[-0.26470588],[-0.44290657],[ 0.02201027],[-0.35294118],[-0.47404844],[-0.27586207],[ 0.02941176],999
986,[-0.38235294],[-0.09642857],[-0.20588235],[-0.34948097],[-0.09483283],[-0.35294118],[-0.37024221],[-0.37142857],[-0.02941176],999
987,[-0.42820069],[-0.06504065],[-0.23529412],[-0.37802768],[-0.07246377],[-0.35294118],[-0.41782007],[-0.33333333],[-0.11764706],999
988,[-0.52508651],[-0.04749679],[-0.11764706],[-0.51470588],[-0.04912281],[-0.20588235],[-0.51124567],[-0.31578947],[-0.02941176],999
989,[-0.32352941],[-0.08571429],[-0.08823529],[-0.33737024],[-0.1],[-0.26470588],[-0.33910035],[-0.31428571],[ 0.08823529],999
990,[-0.48442907],[-0.03306452],[-0.23529412],[-0.47750865],[-0.00806452],[-0.29411765],[-0.47923875],[-0.25806452],[-0.08823529],999
991,[-0.43425606],[-0.13888889],[-0.14705882],[-0.4083045],[-0.11507937],[-0.26470588],[-0.4083045],[-0.30555556],[ 0.02941176],999
992,[-0.46799308],[-0.21246246],[-0.20588235],[-0.44031142],[-0.11879321],[-0.26470588],[-0.46280277],[-0.35135135],[ 0.02941176],999
993,[-0.21626298],[-0.07432432],[-0.05882353],[-0.2266436],[-0.05765766],[-0.23529412],[-0.21799308],[-0.32432432],[ 0.05882353],999
994,[-0.34429066],[-0.16852146],[-0.23529412],[-0.3200692],[-0.11631016],[-0.32352941],[-0.33564014],[-0.41176471],[-0.14705882],999
995,[-0.38581315],[-0.04415584],[-0.08823529],[-0.34429066],[ 0.],[-0.23529412],[-0.37543253],[-0.27272727],[-0.02941176],999
996,[-0.31314879],[-0.05059524],[-0.26470588],[-0.37024221],[-0.02083333],[-0.35294118],[-0.35813149],[-0.3125],[-0.05882353],999
997,[-0.27681661],[-0.12419872],[-0.26470588],[-0.29411765],[-0.10012755],[-0.44117647],[-0.27681661],[-0.40625],[-0.02941176],999
998,[-0.29757785],[-0.11353383],[-0.05882353],[-0.35467128],[-0.08629131],[-0.20588235],[-0.32525952],[-0.34210526],[ 0.14705882],999
999,[-0.37975779],[-0.10744891],[-0.20588235],[-0.36245675],[-0.06874266],[-0.26470588],[-0.38148789],[-0.35135135],[ 0.],999
