,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
823,[-0.22491349],[-0.09064327],[-0.05882353],[-0.24394464],[-0.1126071],[-0.23529412],[-0.24913495],[-0.36842105],[ 0.14705882],999
824,[-0.41176471],[-0.01587302],[-0.14705882],[-0.36678201],[ 0.02834467],[-0.23529412],[-0.42041522],[-0.27777778],[ 0.02941176],999
825,[-0.44031142],[-0.14375],[-0.32352941],[-0.42301038],[-0.06715426],[-0.38235294],[-0.44377163],[-0.34375],[-0.29411765],999
826,[-0.53027682],[-0.13301282],[-0.29411765],[-0.53373702],[-0.0625],[-0.32352941],[-0.54065744],[-0.3125],[-0.17647059],999
827,[-0.39186851],[-0.14844804],[-0.14705882],[-0.40051903],[-0.09810479],[-0.26470588],[-0.40051903],[-0.35897436],[ 0.20588235],999
828,[-0.58564014],[-0.07012987],[-0.26470588],[-0.50951557],[-0.03035714],[-0.29411765],[-0.54411765],[-0.34285714],[-0.02941176],999
829,[-0.47231834],[-0.0974026],[-0.41176471],[-0.44636678],[-0.0949848],[-0.47058824],[-0.47231834],[-0.39285714],[-0.26470588],999
830,[-0.57525952],[-0.05776444],[-0.32352941],[-0.55795848],[-0.02945302],[-0.35294118],[-0.54065744],[-0.29032258],[-0.14705882],999
831,[-0.33910035],[ 0.03205128],[-0.11764706],[-0.35813149],[ 0.00581395],[-0.23529412],[-0.37024221],[-0.25],[ 0.11764706],999
832,[-0.57871972],[-0.06771546],[-0.26470588],[-0.59775087],[-0.01740696],[-0.32352941],[-0.5683391],[-0.32352941],[-0.05882353],999
833,[-0.36937716],[-0.16447368],[-0.29411765],[-0.37802768],[-0.125],[-0.29411765],[-0.35380623],[-0.375],[-0.08823529],999
834,[-0.30190311],[-0.16300676],[-0.26470588],[-0.28633218],[-0.15043605],[-0.38235294],[-0.2949827],[-0.40625],[-0.14705882],999
835,[-0.32958478],[-0.15675676],[-0.20588235],[-0.35207612],[-0.15],[-0.35294118],[-0.32958478],[-0.4],[-0.02941176],999
836,[-0.32958478],[ 0.1],[ 0.],[-0.30536332],[ 0.10434783],[-0.11764706],[-0.32958478],[-0.2],[ 0.20588235],999
837,[-0.43512111],[-0.15897436],[-0.20588235],[-0.44896194],[-0.06730769],[-0.26470588],[-0.44723183],[-0.35897436],[-0.08823529],999
838,[-0.41955017],[-0.08351648],[-0.17647059],[-0.41089965],[-0.05341615],[-0.29411765],[-0.40224913],[-0.31428571],[ 0.05882353],999
839,[-0.51211073],[-0.03195963],[-0.29411765],[-0.50692042],[ 0.00674663],[-0.35294118],[-0.51038062],[-0.27586207],[-0.08823529],999
840,[-0.47404844],[-0.12982456],[-0.29411765],[-0.51211073],[-0.14715447],[-0.38235294],[-0.51211073],[-0.36666667],[-0.05882353],999
841,[-0.37716263],[-0.01925546],[-0.08823529],[-0.36678201],[ 0.0194508],[-0.14705882],[-0.35467128],[-0.26315789],[ 0.20588235],999
842,[-0.31487889],[-0.13998614],[-0.11764706],[-0.39965398],[-0.14358974],[-0.29411765],[-0.3633218],[-0.41025641],[ 0.17647059],999
